# AFT geometry generated from EventDisp2DwithAFTKK.cc
#
# Units: mm
# fiberID assignment:
#   scan aft_de_low_cut[36][32] in increasing [plane][segment] order;
#   skip nonexistent Y/Y' segments 16..31.
# planeID:
#   -1 = unset. This field is reserved for the EASIROC plane ID and can be
#   filled manually later.
#
# Columns:
# fiberID planeID globalLayerID layerType layerIndex fiberIndex centerX centerY centerZ dirX dirY dirZ length radius
#
 59 -1  1 XP 0 27  33.881271   0.000000 354.560000 0.0 1.0 0.0 50.0 1.5
 60 -1  1 XP 0 28  36.981271   0.000000 354.560000 0.0 1.0 0.0 50.0 1.5
 61 -1  1 XP 0 29  40.081271   0.000000 354.560000 0.0 1.0 0.0 50.0 1.5
 62 -1  1 XP 0 30  43.181271   0.000000 354.560000 0.0 1.0 0.0 50.0 1.5
 63 -1  1 XP 0 31  46.281271   0.000000 354.560000 0.0 1.0 0.0 50.0 1.5
 64 -1  2 Y  0  0   0.000000 -23.582233 357.660000 1.0 0.0 0.0 100.0 1.5
 65 -1  2 Y  0  1   0.000000 -20.482233 357.660000 1.0 0.0 0.0 100.0 1.5
 66 -1  2 Y  0  2   0.000000 -17.382233 357.660000 1.0 0.0 0.0 100.0 1.5
 67 -1  2 Y  0  3   0.000000 -14.282233 357.660000 1.0 0.0 0.0 100.0 1.5
 68 -1  2 Y  0  4   0.000000 -11.182233 357.660000 1.0 0.0 0.0 100.0 1.5
 69 -1  2 Y  0  5   0.000000  -8.082233 357.660000 1.0 0.0 0.0 100.0 1.5
 70 -1  2 Y  0  6   0.000000  -4.982233 357.660000 1.0 0.0 0.0 100.0 1.5
 71 -1  2 Y  0  7   0.000000  -1.882233 357.660000 1.0 0.0 0.0 100.0 1.5
 72 -1  2 Y  0  8   0.000000   1.217767 357.660000 1.0 0.0 0.0 100.0 1.5
 73 -1  2 Y  0  9   0.000000   4.317767 357.660000 1.0 0.0 0.0 100.0 1.5
 74 -1  2 Y  0 10   0.000000   7.417767 357.660000 1.0 0.0 0.0 100.0 1.5
 75 -1  2 Y  0 11   0.000000  10.517767 357.660000 1.0 0.0 0.0 100.0 1.5
 76 -1  2 Y  0 12   0.000000  13.617767 357.660000 1.0 0.0 0.0 100.0 1.5
 77 -1  2 Y  0 13   0.000000  16.717767 357.660000 1.0 0.0 0.0 100.0 1.5
 78 -1  2 Y  0 14   0.000000  19.817767 357.660000 1.0 0.0 0.0 100.0 1.5
 79 -1  2 Y  0 15   0.000000  22.917767 357.660000 1.0 0.0 0.0 100.0 1.5
 80 -1  3 YP 0  0   0.000000 -25.132233 360.360000 1.0 0.0 0.0 100.0 1.5
 81 -1  3 YP 0  1   0.000000 -22.032233 360.360000 1.0 0.0 0.0 100.0 1.5
 82 -1  3 YP 0  2   0.000000 -18.932233 360.360000 1.0 0.0 0.0 100.0 1.5
 83 -1  3 YP 0  3   0.000000 -15.832233 360.360000 1.0 0.0 0.0 100.0 1.5
 84 -1  3 YP 0  4   0.000000 -12.732233 360.360000 1.0 0.0 0.0 100.0 1.5
 85 -1  3 YP 0  5   0.000000  -9.632233 360.360000 1.0 0.0 0.0 100.0 1.5
 86 -1  3 YP 0  6   0.000000  -6.532233 360.360000 1.0 0.0 0.0 100.0 1.5
 87 -1  3 YP 0  7   0.000000  -3.432233 360.360000 1.0 0.0 0.0 100.0 1.5
 88 -1  3 YP 0  8   0.000000  -0.332233 360.360000 1.0 0.0 0.0 100.0 1.5
 89 -1  3 YP 0  9   0.000000   2.767767 360.360000 1.0 0.0 0.0 100.0 1.5
 90 -1  3 YP 0 10   0.000000   5.867767 360.360000 1.0 0.0 0.0 100.0 1.5
 91 -1  3 YP 0 11   0.000000   8.967767 360.360000 1.0 0.0 0.0 100.0 1.5
 92 -1  3 YP 0 12   0.000000  12.067767 360.360000 1.0 0.0 0.0 100.0 1.5
 93 -1  3 YP 0 13   0.000000  15.167767 360.360000 1.0 0.0 0.0 100.0 1.5
 94 -1  3 YP 0 14   0.000000  18.267767 360.360000 1.0 0.0 0.0 100.0 1.5
 95 -1  3 YP 0 15   0.000000  21.367767 360.360000 1.0 0.0 0.0 100.0 1.5
 96 -1  4 X  1  0 -48.268729   0.000000 363.460000 0.0 1.0 0.0 50.0 1.5
 97 -1  4 X  1  1 -45.168729   0.000000 363.460000 0.0 1.0 0.0 50.0 1.5
 98 -1  4 X  1  2 -42.068729   0.000000 363.460000 0.0 1.0 0.0 50.0 1.5
 99 -1  4 X  1  3 -38.968729   0.000000 363.460000 0.0 1.0 0.0 50.0 1.5
100 -1  4 X  1  4 -35.868729   0.000000 363.460000 0.0 1.0 0.0 50.0 1.5
101 -1  4 X  1  5 -32.768729   0.000000 363.460000 0.0 1.0 0.0 50.0 1.5
102 -1  4 X  1  6 -29.668729   0.000000 363.460000 0.0 1.0 0.0 50.0 1.5
103 -1  4 X  1  7 -26.568729   0.000000 363.460000 0.0 1.0 0.0 50.0 1.5
104 -1  4 X  1  8 -23.468729   0.000000 363.460000 0.0 1.0 0.0 50.0 1.5
105 -1  4 X  1  9 -20.368729   0.000000 363.460000 0.0 1.0 0.0 50.0 1.5
106 -1  4 X  1 10 -17.268729   0.000000 363.460000 0.0 1.0 0.0 50.0 1.5
107 -1  4 X  1 11 -14.168729   0.000000 363.460000 0.0 1.0 0.0 50.0 1.5
108 -1  4 X  1 12 -11.068729   0.000000 363.460000 0.0 1.0 0.0 50.0 1.5
109 -1  4 X  1 13  -7.968729   0.000000 363.460000 0.0 1.0 0.0 50.0 1.5
110 -1  4 X  1 14  -4.868729   0.000000 363.460000 0.0 1.0 0.0 50.0 1.5
111 -1  4 X  1 15  -1.768729   0.000000 363.460000 0.0 1.0 0.0 50.0 1.5
112 -1  4 X  1 16   1.331271   0.000000 363.460000 0.0 1.0 0.0 50.0 1.5
113 -1  4 X  1 17   4.431271   0.000000 363.460000 0.0 1.0 0.0 50.0 1.5
114 -1  4 X  1 18   7.531271   0.000000 363.460000 0.0 1.0 0.0 50.0 1.5
115 -1  4 X  1 19  10.631271   0.000000 363.460000 0.0 1.0 0.0 50.0 1.5
116 -1  4 X  1 20  13.731271   0.000000 363.460000 0.0 1.0 0.0 50.0 1.5
117 -1  4 X  1 21  16.831271   0.000000 363.460000 0.0 1.0 0.0 50.0 1.5
118 -1  4 X  1 22  19.931271   0.000000 363.460000 0.0 1.0 0.0 50.0 1.5
119 -1  4 X  1 23  23.031271   0.000000 363.460000 0.0 1.0 0.0 50.0 1.5
120 -1  4 X  1 24  26.131271   0.000000 363.460000 0.0 1.0 0.0 50.0 1.5
121 -1  4 X  1 25  29.231271   0.000000 363.460000 0.0 1.0 0.0 50.0 1.5
122 -1  4 X  1 26  32.331271   0.000000 363.460000 0.0 1.0 0.0 50.0 1.5
123 -1  4 X  1 27  35.431271   0.000000 363.460000 0.0 1.0 0.0 50.0 1.5
124 -1  4 X  1 28  38.531271   0.000000 363.460000 0.0 1.0 0.0 50.0 1.5
125 -1  4 X  1 29  41.631271   0.000000 363.460000 0.0 1.0 0.0 50.0 1.5
126 -1  4 X  1 30  44.731271   0.000000 363.460000 0.0 1.0 0.0 50.0 1.5
127 -1  4 X  1 31  47.831271   0.000000 363.460000 0.0 1.0 0.0 50.0 1.5
128 -1  5 XP 1  0 -49.818729   0.000000 366.160000 0.0 1.0 0.0 50.0 1.5
129 -1  5 XP 1  1 -46.718729   0.000000 366.160000 0.0 1.0 0.0 50.0 1.5
130 -1  5 XP 1  2 -43.618729   0.000000 366.160000 0.0 1.0 0.0 50.0 1.5
131 -1  5 XP 1  3 -40.518729   0.000000 366.160000 0.0 1.0 0.0 50.0 1.5
132 -1  5 XP 1  4 -37.418729   0.000000 366.160000 0.0 1.0 0.0 50.0 1.5
133 -1  5 XP 1  5 -34.318729   0.000000 366.160000 0.0 1.0 0.0 50.0 1.5
